Model, MAE, MSE, RMSE, GAME4, GAME16, PSNR, SSIM
CSRNet-SHA, 211.6779, 143364.4695, 211.6779, 230.0976, 249.2180, 70.8865, 0.9988
CSRNet-SHB, 288.6806, 202963.4129, 288.6806, 304.8951, 320.2932, 70.3607, 0.9982
Bay-SHA, 198.3114, 140471.2792, 198.3114, 210.3069, 225.8530, 71.4820, 0.9992
Bay-SHB, 368.5146, 419303.4408, 368.5146, 376.3127, 385.6514, 69.9283, 0.9980
Bay-QNRF, 208.9813, 145530.0795, 208.9813, 218.2059, 230.8496, 71.5664, 0.9992
DM-Count-SHA, 202.2408, 141182.7821, 202.2408, 212.1106, 226.2843, 69.3458, 0.9977
DM-Count-SHB, 298.7094, 277126.4832, 298.7094, 309.7529, 324.4841, 68.0626, 0.9966
DM-Count-QNRF, 179.9635, 99116.1371, 179.9635, 192.1156, 208.3945, 68.7677, 0.9972
SFANet-SHB, 627.1686, 1005656.4059, 627.1686, 630.5703, 635.2231, 68.5614, 0.9968
SASNet-SHA, 208.7742, 153550.0254, 208.7742, 216.8729, 230.3302, 70.5718, 0.9982
SASNet-SHB, 311.7754, 283061.9511, 311.7754, 318.9836, 326.5221, 69.6699, 0.9975
